slot_id,address_id,slot_start,slot_end,tech
S1,A1001,2025-08-20T10:00,2025-08-20T12:00,fiber
S2,A1001,2025-08-20T14:00,2025-08-20T16:00,fiber
S3,A1002,2025-08-21T10:00,2025-08-21T12:00,vdsl
S4,A1001,2025-08-21T09:00,2025-08-21T11:00,fiber
S5,A2001,2025-08-22T10:00,2025-08-22T12:00,fiber
S6,A2001,2025-08-22T14:00,2025-08-22T16:00,vdsl
S7,A3001,2025-08-23T10:00,2025-08-23T12:00,fiber
S8,A3001,2025-08-23T14:00,2025-08-23T16:00,fwa
S9,A4001,2025-08-24T10:00,2025-08-24T12:00,fiber
S10,A4001,2025-08-24T14:00,2025-08-24T16:00,vdsl
S11,A5001,2025-08-25T10:00,2025-08-25T12:00,fiber
S12,A5001,2025-08-25T14:00,2025-08-25T16:00,fwa
